centroid_x,centroid_y,radius_500
381619.3891946034,65728.98824362102,
382580.22399318346,58639.06064774065,
383167.526042615,60093.2913885872,
383128.991167896,59975.15673766353,
382985.67815194634,60574.389134029414,87.0
382947.14360258926,60456.26203993536,
384377.4531431597,60340.34432283565,
384243.3422919723,60621.70589084569,
383241.4493614617,57549.790200758864,
384072.20564603974,62174.39135619491,
384032.1810611558,60666.79778423849,
383435.70177151647,59530.532922996754,
383031.85587461316,58984.91323485868,
382370.7191223386,60073.93573943191,
382487.97489176015,61817.7680795758,
383982.8914881858,59476.837540468005,
384241.86204363446,59231.95034701889,
382526.508243917,61935.87403504587,
382996.5080847243,61646.02560791353,
383295.50434378796,62908.64339326029,
383996.6579224057,63327.421881414564,
384648.5797112727,62556.68410970571,
384687.10043311556,62674.78940249535,
382786.9990570744,63080.3351320998,
383572.8834211151,62028.31680194321,
387517.51758052316,60617.60016960312,
383313.9848165071,62273.08170561885,
385923.4986312339,60578.84188836831,
386327.2840857464,61124.43314494066,
387172.10292564175,60944.07412917271,
384906.1020032515,60922.43670555147,
385251.4096844747,60595.987448521424,
385117.27603308926,60877.34725126067,
385693.718140534,61259.69314965865,
387420.6433903682,59627.27467731492,
387382.1284917647,59509.114424637526,
386729.8016663941,60280.30831272365,
386595.62277859956,60561.69638324801,
385559.5777199606,61541.02972608724,
